history,nohistory,2d,text
67,14,14,61
73,30,29,62
75,30,30,62
79,36,30,72
84,52,36,84
85,56,52,85
86,61,56,85
87,68,67,87
89,83,68,89
89,91,73,92
92,105,75,94
94,109,79,109
105,111,83,117
107,115,84,117
115,116,86,119
117,116,89,124
117,116,91,124
119,120,105,128
124,121,105,128
125,123,107,132
125,129,109,134
128,131,111,142
128,132,115,143
128,139,116,149
133,170,116,159
147,171,125,161
149,181,125,167
155,188,128,173
161,191,131,183
167,193,133,184
168,198,147,191
173,202,155,194
174,212,161,209
184,217,168,223
184,229,170,231
184,230,171,241
185,238,173,242
186,246,174,254
191,248,184,255
194,252,184,255
207,252,185,262
215,255,186,269
223,256,188,270
231,268,202,276
242,268,207,278
247,279,215,280
262,281,229,284
269,286,230,298
280,294,246,300
300,299,247,301
307,322,252,307
309,334,268,326
311,346,286,326
326,370,299,332
341,371,309,341
342,388,311,342
343,393,347,343
347,428,351,349
349,440,364,371
351,465,367,372
364,475,371,382
367,524,385,382
372,531,440,393
382,547,482,413
382,565,505,437
385,576,506,471
393,586,547,472
413,629,565,485
482,659,586,621
505,717,629,678
506,846,659,754
